Acheron Redwood
Alder Darkmore
Alder Wood
Amarant Depraysie
Arc Malum
Arc Vonner
Athena Villalobos
Aura Barlow
Axel Diablos
Balsam Tenebris
Belle Monroe
Belzebob Maganti
Blight Onyx
Caesar Chainsaw
Carmilla Ebonywood
Chalice Chainsaw
Cherry Grail
Chrom Diablos
Churel Cromwell
Cinder Manglyeong
Cinder White
Cloven Darkmore
Damsel Whitmore
Dario Marth
Diamanda Devonshire
Drace Denholm
Drakkar Roseberg
Echo Winter
Ecthrois White
Edge Orlando
Elissa Monroe
Entropy Borges
Entropy Darkmore
Ethel Calarook
Ethel Duke
Eulisses Mock
Fark Nox
Finch Christian
Frederik Storm
Freed Helion
Freed Vossen
Gabriel Calarook
Gabriel Fade
Gabriel Marth
Griffin Craft
Griffin Mallor
Hamlet Manglyeong
Hegna Christian
Herma Christian
Herma Vandran
Holstein Shadowmend
Hunter Dukes
Ilene Whisper
Jillia Ripper
Jinx Delacroix
Jinx Shade
Jonathan Gemmell
Kaiser Frost
Kellam Blackwood
Lace Rathmore
Laguna Knotley
Lament Naxxremis
Larc Thornheart
Law Lobo
Layre Kane
Lexx Shadowwalker
Lorelei Frost
Lucretia Whisper
Lusha Lovelace
Maggard Vixen
Maleficent Kobe
Max Von Stein
Mazus Keeling
Misericordia Creighton
Misericordia Grimsbane
Morren Caligari
Morrow Bloodgood
Morrow Drabek
Nifsara Duke
Nylora Grail
Obsidian Deamonne
Omen Addington
Omen Riddle
Pritchard Stone
Prysm Duke
Quint Vossen
Quway Victor
Ramin Orlando
Redcap Brack
Requiem Helion
Rhys Krauss
Ridley Cane
Ridley Lynx
Rogue Lovelace
Rosary Cloven
Sable Wolf
Samantha Maganti
Samuel Keeling
Savina Thornton
Sepitus Interfector
Seraphim Shadowmend
Shayde Razor
Theodore Drach
Theodore Steros
Thorne Aimes
Thunder Brevil
Ukara Strain
Umbri Blankley
Umona Payne
Vance Denholm
Venkalth Autumn
Vome Tempest
Willow Magnus
Yizla Pickerin
Ymo Lobo
Zamza Shadowmend
Zeldalia Hart
Zelgius Kobe
Zephyr Lovelace
Zolona Devonshire
Zolona Manglyeong
